Sport,AvgMedalistAge,AvgAthleteAge,API
Aeronautics,26.0,26.0,1.0
Alpine Skiing,24.343457943925234,23.20546223288767,1.0490399932402448
Alpinism,38.8125,38.8125,1.0
Archery,30.927899686520377,27.935226264418812,1.107129020319171
Art Competitions,42.328947368421055,45.90100944317812,0.9221790083030963
Athletics,25.020532319391634,25.161223238328844,0.9944084229290215
Badminton,25.38095238095238,25.67124227865477,0.9886920198659899
Baseball,26.25297619047619,26.240761478163495,1.000465486198747
Basketball,25.34230055658627,25.324597701149425,1.0006990379727154
Basque Pelota,26.0,26.0,1.0
Beach Volleyball,29.75,29.122340425531913,1.0215525114155253
Biathlon,26.901960784313726,26.53291087489779,1.01390913764253
Bobsleigh,29.848484848484848,29.11018084393838,1.0253623984167108
Boxing,23.05800214822771,23.054808867167043,1.0001385082426433
Canoeing,25.963948497854076,25.504400260756192,1.0180183902542101
Cricket,29.333333333333332,29.333333333333332,1.0
Croquet,31.125,33.733333333333334,0.9226778656126482
Cross Country Skiing,27.617268041237114,26.006155198944825,1.0619512123175232
Curling,33.30263157894737,31.41252699784017,1.0601704084882173
Cycling,24.59514170040486,24.773990767115215,0.9927807728519961
Diving,22.264775413711583,22.48144064682102,0.9903624844816128
Equestrianism,35.3717277486911,34.39083075922614,1.0285220498548675
Fencing,28.89593023255814,28.538822355289422,1.0125130558235012
Figure Skating,24.02077922077922,22.232189973614776,1.0804504301774656
Football,24.159372958850426,23.69324960753532,1.019673255422374
Freestyle Skiing,24.931372549019606,24.42689434364995,1.0206525724585533
Golf,27.782608695652176,29.408510638297873,0.944713217114493
Gymnastics,23.40649291266575,22.733038232528987,1.0296244907191117
Handball,26.349056603773583,26.30800990916598,1.0015602356373337
Hockey,25.779559118236474,25.716861691924038,1.002437989015282
Ice Hockey,25.79673202614379,25.831419719336616,0.998657151114042
Jeu De Paume,29.0,32.45454545454545,0.8935574229691877
Judo,25.19926873857404,25.329524315705555,0.9948575592850455
Lacrosse,26.86111111111111,26.86111111111111,1.0
Luge,25.822222222222223,24.626269465132026,1.0485641058538537
Military Ski Patrol,24.25,23.736842105263158,1.021618625277162
Modern Pentathlon,27.22043010752688,26.388546798029555,1.0315244077616068
Motorboating,31.714285714285715,33.333333333333336,0.9514285714285714
Nordic Combined,25.1030303030303,24.342322097378275,1.0312504371032851
Polo,34.58461538461538,35.333333333333336,0.978809869375907
Racquets,28.8,28.666666666666668,1.0046511627906975
Rhythmic Gymnastics,18.931818181818183,18.737082066869302,1.0103930865144264
Roque,53.333333333333336,53.333333333333336,1.0
Rowing,25.565371024734983,25.276293574337075,1.01143670251921
Rugby,24.385964912280702,24.385964912280702,1.0
Rugby Sevens,25.33783783783784,26.046822742474916,0.9727803689668096
Sailing,31.804255319148936,30.288843040787178,1.0500320291640421
Shooting,33.44987146529563,33.42222640444152,1.0008271459991798
Short Track Speed Skating,22.429577464788732,22.804432855280314,0.9835621700013125
Skeleton,28.933333333333334,29.83248730964467,0.9698599058476547
Ski Jumping,23.753623188405797,23.347297863426896,1.0174035268387698
Snowboarding,24.666666666666668,24.825854700854702,0.9935878125403451
Softball,26.75977653631285,26.299163179916317,1.0175143731093423
Speed Skating,25.374137931034483,24.30353950661423,1.0440511318990755
Swimming,20.923356458539807,20.566803405231354,1.01733633789769
Synchronized Swimming,23.809302325581395,22.36685082872928,1.0644905940446183
Table Tennis,24.720238095238095,26.46252566735113,0.9341601933989758
Taekwondo,23.45138888888889,24.056105610561055,0.9748622353317785
Tennis,26.88719512195122,25.85135135135135,1.0400692310634554
Trampolining,24.033333333333335,25.138157894736842,0.9560498996772224
Triathlon,28.2,27.871455576559548,1.0117878459034182
Tug-Of-War,29.53846153846154,29.30952380952381,1.0078110354308567
Volleyball,25.775025799793603,25.18379970544919,1.023476445225082
Water Polo,25.874757281553396,25.659626988480525,1.0083839992362107
Weightlifting,25.278301886792452,25.502010184937014,0.9912278170809964
Wrestling,26.07667984189723,25.79828905898244,1.010791056037798
